timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2019-11-07 23:28:00,9227.90,9227.90,9225.99,9225.99,10.085,1573169339999,93057.53456,20,0.277,2555.87613,0
2019-11-07 23:29:00,9226.01,9233.90,9226.01,9231.66,47.609,1573169399999,439483.50465,89,43.097,397825.78264,0
2019-11-07 23:30:00,9231.93,9232.78,9227.37,9227.37,70.279,1573169459999,648668.09787,79,22.752,209982.47664,0
2019-11-07 23:31:00,9227.38,9227.38,9223.84,9224.80,17.306,1573169519999,159661.35614,48,4.627,42687.22605,0
2019-11-07 23:32:00,9224.80,9227.37,9223.54,9227.11,52.877,1573169579999,487861.40074,82,32.019,295408.06907,0
2019-11-07 23:33:00,9227.27,9231.01,9227.27,9231,15.338,1573169639999,141568.20044,37,13.563,125184.66854,0
2019-11-07 23:34:00,9231,9231,9227.28,9228.62,42.943,1573169699999,396329.32118,47,2.495,23023.86000,0
2019-11-07 23:35:00,9228.61,9229.34,9222,9225.19,32.959,1573169759999,304064.96985,78,3.242,29916.25807,0
2019-11-07 23:36:00,9224.60,9226.20,9223,9224.04,13.688,1573169819999,126262.00770,60,10.855,100130.38741,0
2019-11-07 23:37:00,9224.04,9227.04,9224.04,9227,24.200,1573169879999,223256.30574,51,19.008,175353.47773,0
2019-11-07 23:38:00,9227.50,9230,9225.80,9227.68,25.141,1573169939999,231998.23829,58,14.638,135082.06200,0
2019-11-07 23:39:00,9227.55,9228.43,9226.37,9227.81,5.396,1573169999999,49790.41088,27,1.213,11192.93083,0
2019-11-07 23:40:00,9228.14,9228.50,9225.07,9226.44,31.827,1573170059999,293661.05816,46,11.594,106979.47646,0
2019-11-07 23:41:00,9226.40,9226.44,9221.41,9221.56,18.238,1573170119999,168229.46278,62,5.142,47432.29395,0
2019-11-07 23:42:00,9221.56,9228.49,9217.52,9222.25,50.486,1573170179999,465576.53234,113,34.442,317652.15516,0
2019-11-07 23:43:00,9222.20,9222.49,9219.26,9221.06,9.266,1573170239999,85437.65273,50,5.724,52778.33868,0
2019-11-07 23:44:00,9221.20,9221.20,9217,9217.90,76.414,1573170299999,704488.66794,100,11.946,110141.87978,0
2019-11-07 23:45:00,9218.78,9220.29,9217.68,9219.44,36.987,1573170359999,341002.49890,65,16.077,148219.25289,0
2019-11-07 23:46:00,9219.44,9220.36,9219.40,9219.40,43.359,1573170419999,399757.91866,78,7.166,66070.54462,0
2019-11-07 23:47:00,9219.70,9219.70,9201.80,9217.17,113.113,1573170479999,1041784.33361,237,40.983,377526.18118,0
